hostname;port;description
swGPD-SA;te1/0/6;swLPD-06
swLPD-Z-SA;te1/0/19;swLPD-Z-S1
swLPD-1B-1;gi1/0/5;PC_MGATNER
swGPD-S1;gi1/0/4;AP_GPD-S1-4
swLPD-P;te1/0/1;sw-GPD-SA
swGPD-SA;te1/0/7;swLPD-07
swLPD-Z-SA;te1/0/20;swGPD-SA
swLPD-1B-1;gi1/0/6;PC_GIDZIKOWSKA
swGPD-S1;gi1/0/5;AP_GPD-S1-5
swGPD-S2;gi1/0/1;PC_SKAZUCH
swGPD-SA;te1/0/8;swLPD-08
swLPD-Z-SA;te1/0/22;INEA_KAMERY
swLPD-1B-1;gi1/0/9;D_ETYKIET_017
swGPD-S1;gi1/0/6;IOT_MOS-SKONF-IT-MALA
swGPD-S2;gi1/0/2;IOT_MOS-SKONF-IT-DUZA
swGPD-SA;te1/0/9;swLPD-09
swLPD-2B-3;gi1/0/2;PC_AJUNCZAK
swLPD-1B-1;gi1/0/10;D_ETYKIET_014
swGPD-S1;gi1/0/7;D_10.97
swGPD-S2;gi1/0/3;PC_LSZYMKOWIAK-M
swGPD-SA;te1/0/10;swLPD-10
swLPD-2B-3;gi1/0/3;PC_AKOWALSKI
swGPD-S1;gi1/0/8;PC_DBRZAKALA
swLPD-1B-1;gi1/0/12;D_10.91
swGPD-S2;gi1/0/5;PC_TROZEWSKI
swGPD-SA;te1/0/11;swLPD-11
swLPD-2B-3;gi1/0/5;PC_ISZYNDLER
swLPD-1B-1;gi1/0/13;PC_AKAWULA
swGPD-S1;gi1/0/9;PC_WLEKKI-M
swGPD-S2;gi1/0/6;PC_MBRODA
swGPD-SA;te1/0/12;swLPD-Z-SA
swLPD-2B-3;gi1/0/6;VOIP_130.28
swGPD-S1;gi1/0/10;PC_RZDRODOWSKI
swLPD-1B-1;gi1/0/14;PC_PFORYS
swGPD-S2;gi1/0/7;PC_MWOJCIECHOW
swGPD-SA;te1/0/13;swLPD-P
swLPD-2B-3;gi1/0/8;D_10.44
swLPD-1B-1;gi1/0/15;Automat Przekaski/Kawa
swGPD-S2;gi1/0/8;PC_JSWIATEK
swGPD-S1;gi1/0/11;PC_KSKORUPA-M
swGPD-SA;te1/0/14;swLPD-1B-1
swLPD-2B-3;gi1/0/9;VOIP_130.29
swGPD-S1;gi1/0/12;PC_RCIESLINSKI
swLPD-1B-1;gi1/0/16;AP_LPD-1B-16
